ProgramName,ComplexName,BuildingName,PrimaryUse,BuildingSizeSQFT,AddressStreet,AddressCity,AddressState,AddressZipCode,MeterName,Commodity,Units,SerialNumber,AccountNumber,Vendor,BillStartDate,BillEndDate,Year,Month,BillDays,TotalConsumption,TotalCost,ActualDemand,BilledDemand,DemandCharge,AccountLevelCharges,EstimatedBill,AccountLevelCharges.1,EstimatedBill.1
New York Institute of Tech-NY,Long Island Campus,McCarthy House,Class_Office-Large,4218,Northern Boulevard,Old Westbury,NY,11568,McCarthy House,Oil #2,GAL,UME_314196_MH,314196,United Metro Energy,2022-01-13 00:00:00,2022-02-07 00:00:00,2022,1,25,422.2,1279.54,0,0,0,0,FALSE,0,FALSE
New York Institute of Tech-NY,Long Island Campus,Riland,Class_Office-Large,82152,Northern Boulevard,Old Westbury,NY,11568,NRG_420032-7976,Natural Gas,THERM,420032-7976,62918-27002-004658759,NRG,2023-11-16 00:00:00,2023-12-19 00:00:00,2023,11,33,0,43.82,0,0,0,0,FALSE,0,FALSE
New York Institute of Tech-NY,Long Island Campus,Field House,Other,17200,Northern Boulevard,Old Westbury,NY,11568,Locker Room,Water & Sewer,KGAL,01-002450.00,01-002450.00,Old Westbury Water,2022-11-01 00:00:00,2023-05-01 00:00:00,2022,11,181,0,185,0,0,0,0,FALSE,0,FALSE
New York Institute of Tech-NY,Long Island Campus,North House,Class_Office-Large,1816,Northern Boulevard,Brookville,NY,11568,NG_50442-99000,Natural Gas,THERM,4698796,50442-99000,National Grid,2023-11-16 00:00:00,2023-12-20 00:00:00,2023,11,34,196,301.3,0,0,0,0,FALSE,0,FALSE
New York Institute of Tech-NY,Long Island Campus,De Seversky Mansion,Other,25710,Northern Boulevard,Brookville,NY,11568,Kitchen,Oil #2,GAL,UME_314196_Kitchen,314196,United Metro Energy,2022-04-11 00:00:00,2022-04-18 00:00:00,2022,4,7,215.3,886.25,0,0,0,0,FALSE,0,FALSE
New York Institute of Tech-NY,New York City Campus,33 West 60th Street,Other,7664,33 West 60th Street,New York,NY,10023,3rd Floor,Electric,KWH,16604-35000-5,16604-35000-5,ConEd,2023-12-21 00:00:00,2024-01-23 00:00:00,2023,12,33,1958,564.16,12.26,0,0,0,FALSE,0,FALSE
New York Institute of Tech-NY,Long Island Campus,McCarthy House,Class_Office-Large,4218,Northern Boulevard,Old Westbury,NY,11568,McCarthy House,Oil #2,GAL,UME_314196_MH,314196,United Metro Energy,2021-12-13 00:00:00,2021-12-27 00:00:00,2021,12,14,184.7,469.12,0,0,0,0,FALSE,0,FALSE
New York Institute of Tech-NY,Long Island Campus,Serota,Class_Office-Large,48775,Northern Boulevard,Old Westbury,NY,11568,NG_37970-76006,Natural Gas,THERM,6027686,37970-76006,National Grid,2023-11-16 00:00:00,2023-12-20 00:00:00,2023,11,34,1662,1205.48,0,0,0,0,FALSE,0,FALSE
New York Institute of Tech-NY,Long Island Campus,Main Meters,Other,142859,Northern Boulevard,Old Westbury,NY,11568,Sign,Electric,KWH,4889666123,4889666123,PSEG,2022-06-30 00:00:00,2022-07-31 00:00:00,2022,6,31,111,64.4,0,0,0,0,FALSE,0,FALSE
New York Institute of Tech-NY,Long Island Campus,Main Meters,Other,142859,Northern Boulevard,Old Westbury,NY,11568,Sign,Electric,KWH,4889666123,4889666123,PSEG,2024-01-31 00:00:00,2024-02-29 00:00:00,2024,1,29,104,60.47,0,0,0,0,FALSE,0,FALSE
New York Institute of Tech-NY,Long Island Campus,Gerry House,Administration Office,14657,Northern Boulevard,Old Westbury,NY,11568,NG_37970-74002,Natural Gas,THERM,7350551,37970-74002,National Grid,2023-03-22 00:00:00,2023-04-20 00:00:00,2023,3,29,813,710.82,0,0,0,0,FALSE,0,FALSE
New York Institute of Tech-NY,Long Island Campus,Simonson House,Facility Services,6084,Northern Boulevard,Old Westbury,NY,11568,JWD_25815400-0,Water,KGAL,JWD_25815400-0,25815400-0,Jericho Water District,2023-02-07 00:00:00,2023-05-03 00:00:00,2023,2,85,15,19.05,0,0,0,0,FALSE,0,FALSE
New York Institute of Tech-NY,Long Island Campus,Gerry House,Administration Office,14657,Northern Boulevard,Old Westbury,NY,11568,NG_37970-74002,Natural Gas,THERM,7350551,37970-74002,National Grid,2022-12-19 00:00:00,2023-01-19 00:00:00,2022,12,31,1776,1212.15,0,0,0,0,FALSE,0,FALSE
New York Institute of Tech-NY,Long Island Campus,500 Building,Class_Office-Large,19749,Northern Boulevard,Old Westbury,NY,11568,NRG_420032-7964,Natural Gas,THERM,420032-7964,80230-31001-000730790,NRG,2022-06-08 00:00:00,2022-07-08 00:00:00,2022,6,30,0,0,0,0,0,0,FALSE,0,FALSE
New York Institute of Tech-NY,Long Island Campus,Balding House,Other,6858,Northern Boulevard,Old Westbury,NY,11568,PSEG_5959875251,Electric,KWH,5959875251,5959875251,PSEG,2024-01-02 00:00:00,2024-01-31 00:00:00,2024,1,29,1487,426.74,6.5,0,0,0,FALSE,0,FALSE
New York Institute of Tech-NY,Long Island Campus,500 Building,Class_Office-Large,19749,Northern Boulevard,Old Westbury,NY,11568,PSEG_5959885001,Electric,KWH,96767553,5959885001,PSEG,2022-05-02 00:00:00,2022-06-02 00:00:00,2022,5,31,104,38.84,0,0,0,0,FALSE,0,FALSE
New York Institute of Tech-NY,New York City Campus,1855 Broadway,Class_Office-Large,97303,1855 Broadway,New York,NY,10023,NRG_420032-82343,Natural Gas,THERM,420032-82343,66397540007-3437745,NRG,2022-01-26 00:00:00,2022-02-25 00:00:00,2022,1,30,0,0,0,0,0,0,FALSE,0,FALSE
New York Institute of Tech-NY,New York City Campus,33 West 60th Street,Other,7664,33 West 60th Street,New York,NY,10023,3rd Floor,Electric,KWH,16604-35000-5,16604-35000-5,ConEd,2022-08-23 00:00:00,2022-09-22 00:00:00,2022,8,30,1782,500.41,0,0,0,0,FALSE,0,FALSE
New York Institute of Tech-NY,Long Island Campus,Gerry House,Administration Office,14657,Northern Boulevard,Old Westbury,NY,11568,NG_37970-74002,Natural Gas,THERM,7350551,37970-74002,National Grid,2024-02-20 00:00:00,2024-03-18 00:00:00,2024,2,27,1087,917.72,0,0,0,0,FALSE,0,FALSE
New York Institute of Tech-NY,New York City Campus,26 West 61st Street,Class_Office-Large,46771,26 West 61st Street,New York,NY,10023,EPG_27925450002,Electric,KWH,EPG_27925450002,27925450002,Engie Power and Gas,2021-11-23 00:00:00,2021-12-23 00:00:00,2021,11,30,0,810.94,0,0,0,0,FALSE,0,FALSE
New York Institute of Tech-NY,Long Island Campus,Midge Karr,Class_Office-Large,21438,Northern Boulevard,Old Westbury,NY,11568,NG_42881-51006,Natural Gas,THERM,4583122,42881-51006,National Grid,2023-04-20 00:00:00,2023-05-19 00:00:00,2023,4,29,38,101.04,0,0,0,0,FALSE,0,FALSE
New York Institute of Tech-NY,Long Island Campus,Wisser Memorial Library,Other,35842,Northern Boulevard,Old Westbury,NY,11568,NG_75384-42006,Natural Gas,THERM,1358168,75384-42006,National Grid,2023-01-18 00:00:00,2023-02-15 00:00:00,2023,1,28,1992,1424.81,0,0,0,0,FALSE,0,FALSE
New York Institute of Tech-NY,Long Island Campus,North House,Class_Office-Large,1816,Northern Boulevard,Brookville,NY,11568,NRG_420032-7975,Natural Gas,THERM,420032-7975,50442-99000-004698796,NRG,2024-01-22 00:00:00,2024-02-20 00:00:00,2024,1,29,0,114.14,0,0,0,0,FALSE,0,FALSE
New York Institute of Tech-NY,New York City Campus,26 West 61st Street,Class_Office-Large,46771,26 West 61st Street,New York,NY,10023,CE_24441-55000-1,Electric,KWH,11032132,24441-55000-1,ConEd,2023-08-23 00:00:00,2023-09-22 00:00:00,2023,8,30,4446,770.99,0,0,0,0,FALSE,0,FALSE
New York Institute of Tech-NY,Long Island Campus,Main Meters,Other,142859,Northern Boulevard,Old Westbury,NY,11568,Campus Main 2,Electric,KWH,80338639,4910504801,PSEG,2023-02-15 00:00:00,2023-03-16 00:00:00,2023,2,29,13500,2132.97,26.1,0,0,0,FALSE,0,FALSE
New York Institute of Tech-NY,New York City Campus,1855 Broadway,Class_Office-Large,97303,1855 Broadway,New York,NY,10023,Steam,Steam,MLB,CE_6421000000,6421000000,ConEd,2024-05-20 00:00:00,2024-06-18 00:00:00,2024,5,29,825.74,18791.94,0,14282.54,0,0,FALSE,0,FALSE
New York Institute of Tech-NY,New York City Campus,1855 Broadway,Class_Office-Large,97303,1855 Broadway,New York,NY,10023,Fire Alarm,Electric,KWH,34768-94000-8,34768-94000-8,ConEd,2023-09-30 00:00:00,2023-10-31 00:00:00,2023,9,31,0,10.87,0,0,0,0,FALSE,0,FALSE
New York Institute of Tech-NY,New York City Campus,26 West 61st Street,Class_Office-Large,46771,26 West 61st Street,New York,NY,10023,EPG_99770240002,Electric,KWH,EPG_99770240002,99770240002,Engie Power and Gas,2023-01-26 00:00:00,2023-02-27 00:00:00,2023,1,32,0,785.46,0,0,0,0,FALSE,0,FALSE
New York Institute of Tech-NY,Long Island Campus,David G. Salten Hall,Class_Office-Large,22314,Northern Boulevard,Old Westbury,NY,11568,NRG_420032-7971,Natural Gas,THERM,420032-7971,62918-25008-001349470,NRG,2023-01-19 00:00:00,2023-02-17 00:00:00,2023,1,29,0,1288.85,0,0,0,0,FALSE,0,FALSE
New York Institute of Tech-NY,Long Island Campus,De Seversky Mansion,Other,25710,Northern Boulevard,Brookville,NY,11568,Kitchen,Oil #2,GAL,UME_314196_Kitchen,314196,United Metro Energy,2022-01-27 00:00:00,2022-01-31 00:00:00,2022,1,4,543.2,1606.07,0,0,0,0,FALSE,0,FALSE
